アィディア,idea,,
アイ,eye,I,
アイアイエス,IIS,,
アイアイオーピー,IIOP,,
アイアイジェイ,IIJ,,
アイアイジェイフォーユー,IIJ4U,,
アイアニング,ironing,,
アイアン,iron,,
アイアンクラブ,iron club,,
アイアンサイト,iron sight,,
アイアンストン,ironstone,,
アイアンメイデン,iron maiden,,
アイアール,IR,information retrieval,investor relations
アイアールキュー,IRQ,,
アイアールシー,IRC,,
アイアールディーエー,IrDA,,
アイアールビーエム,intermediate-range ballistic missile,IRBM,
アイイー,IE,,
アイイーティーエフ,IETF,,
アイウェア,eyewear,,
アイエス,Islamic State,Daesh,IS
アイエスエーピーアイ,ISAPI,,
アイエスオー,ISO,,
アイエスオーシー,ISOC,,
アイエスオーディーイー,ISODE,,
アイエスディーエヌ,ISDN,,
アイエスディーエン,integrated services digital network,ISDN,
アイエスピー,Internet Service Provider,ISP,
アイエニウェア,iAnywhere,,
アイエム,instant messaging,IM,input method
アイエムイー,IME,,
アイエムエフ,International Monetary Fund,IMF,
アイエムオー,International Mathematical Olympiad,IMO,International Maritime Organization
アイエービー,IAB,,
アイオダイン,iodine,,
アイオライト,iolite,,
アイオリ,aioli,,
アイオリソース,aioli,,
アイオー,I-O,,
アイオー,input-output,,
アイオーコントロール,IO control,input-output control,
アイオーシー,International Olympic Committee,IOC,Intergovernmental Oceanographic Commission
アイオーティ,Internet of Things,IoT,
アイオーティー,Internet of Things,IoT,
アイオーデータ,I-O DATA,,
アイカメラ,eye camera,,
アイキャッチ,short clip used to begin and end commercial breaks on Japanese TV,,
アイキャッチャ,eye-catcher,,
アイキャッチャー,eye-catcher,,
アイキュー,IQ,intelligence quotient,
アイギョクシ,Ficus pumila var. awkeotsang,,
アイケア,eye care,,
アイケアグラス,safety glasses,,
アイコ,iced coffee,,
アイコニックインタフェース,iconic interface,,
アイコニックサイン,iconic signs,,
アイコニックメモリ,iconic memory,,
アイコニファイ,iconify,,
アイコノクラズム,iconoclasm,,
アイコノスコープ,iconoscope,,
アイコラ,altered photograph, usu. with sexual connotations, such as putting someone's face on top of a picture of a nude idol, etc.,,
アイコン,icon,,
